,Price,Case material,Bracelet material,Shape,Crystal,Clasp
2099,34031250.0,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2100,10338693.75,steel,Leather,Rectangular,Sapphire crystal,Fold clasp
2101,85588593.75,steel,Rubber,Circular,Sapphire crystal,Fold clasp
2102,4083750.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2103,204187500.0,gold,gold,Circular,Sapphire crystal,Fold clasp
2104,36413437.5,Titanium,Rubber,Circular,Sapphire crystal,Double-fold clasp
2106,51673050.0,Other Metal,Ceramic,Circular,Sapphire crystal,"Fold clasp, hidden"
2107,251490937.5,steel,Animal skin,Circular,Sapphire crystal,Buckle
2108,13360668.75,steel,Steel,Circular,Mineral Glass,"Fold clasp, hidden"
2109,1470150.0,steel,Rubber,Rectangular,Mineral Glass,Buckle
2110,4390031.25,Bronze,Leather,Circular,Sapphire crystal,Buckle
2111,102093750.0,gold,gold,Circular,Sapphire crystal,"Fold clasp, hidden"
2112,11516175.0,steel,Leather,Circular,Sapphire crystal,Fold clasp
2113,15395737.5,steel,Textile,Circular,Sapphire crystal,Buckle
2114,65850468.75,steel,gold,Circular,Sapphire crystal,Fold clasp
2115,5159137.5,steel,Leather,Rectangular,Sapphire crystal,Buckle
2116,41334356.25,steel,Textile,Circular,Sapphire crystal,Buckle
2117,40837500.0,steel,Animal skin,Circular,Sapphire crystal,Buckle
2118,1170675.0,steel,Steel,Rectangular,Glass,Fold clasp
2120,292668750.0,gold,gold,Circular,Sapphire crystal,Fold clasp
2124,28048556.25,steel,Leather,Circular,Sapphire crystal,Buckle
2125,169475625.0,gold,Leather,Circular,Sapphire crystal,Buckle
2126,8194725.0,steel,Rubber,Circular,Sapphire crystal,Buckle
2128,19738125.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2129,162635343.75,gold,gold,Circular,Sapphire crystal,Fold clasp
2130,10379531.25,steel,Animal skin,Rectangular,Sapphire crystal,Jewelry clasp
2132,12843393.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2134,22453818.75,steel,Animal skin,Circular,Sapphire crystal,Buckle
2135,4812018.75,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2136,6799443.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2137,30287812.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
2139,74188125.0,Titanium,Titanium,Circular,Sapphire crystal,Fold clasp
2140,91203750.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2141,9630843.75,steel,Leather,Circular,Sapphire crystal,Fold clasp
2142,5070656.25,Plastic,Silicon,Circular,Sapphire crystal,Buckle
2143,1163868.75,steel,Steel,Circular,Mineral Glass,Fold clasp
2144,20813512.5,steel,Rubber,Circular,Sapphire crystal,Buckle
2146,18240750.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2147,2205225.0,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
2148,30274200.0,steel,Leather,Circular,Sapphire crystal,Jewelry clasp
2149,2586375.0,Ceramic,Ceramic,Rectangular,Sapphire crystal,Double-fold clasp
2150,2579568.75,steel,Leather,Circular,Mineral Glass,Buckle
2151,4900500.0,steel,Steel,Rectangular,Mineral Glass,Fold clasp
2152,29239650.0,steel,Rubber,Circular,Sapphire crystal,Fold clasp
2153,1728787.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2154,32404556.25,Titanium,Rubber,Rectangular,Sapphire crystal,Buckle
2155,8473781.25,steel,Leather,Circular,Sapphire crystal,Buckle
2156,19915087.5,steel,Leather,Rectangular,Sapphire crystal,Buckle
2157,9229275.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2158,10331887.5,steel,Silicon,Circular,Sapphire crystal,Buckle
2159,4757568.75,steel,Leather,Rectangular,Plexiglass,Buckle
2160,1470150.0,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2161,4356000.0,steel,Animal skin,Circular,Sapphire crystal,Buckle
2162,13510406.25,steel,Rubber,Rectangular,Sapphire crystal,Fold clasp
2163,202145625.0,Titanium,Titanium,Rectangular,Sapphire crystal,Double-fold clasp
2164,67041562.5,steel,Animal skin,Rectangular,Sapphire crystal,Fold clasp
2165,5907825.0,steel,Steel,Circular,Mineral Glass,Fold clasp
2166,5798925.0,steel,Leather,Rectangular,Sapphire crystal,Double-fold clasp
2167,7657031.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
2169,374003437.5,Platinum,Animal skin,Circular,Sapphire crystal,Buckle
2170,21371625.0,steel,Leather,Circular,Sapphire crystal,Buckle
2171,35589881.25,Titanium,Titanium,Circular,Sapphire crystal,Fold clasp
2172,1762818.75,steel,Steel,Circular,Mineral Glass,Fold clasp
2174,8643937.5,Ceramic,Rubber,Circular,Sapphire crystal,Buckle
2175,19853831.25,steel,Leather,Circular,Sapphire crystal,Fold clasp
2176,85044093.75,gold,Steel,Circular,Sapphire crystal,Fold clasp
2178,31642256.25,steel,Leather,Circular,Plastic,Buckle
2180,80824218.75,steel,Rubber,Circular,Sapphire crystal,Double-fold clasp
2182,27054843.75,steel,Rubber,Circular,Sapphire crystal,Buckle
2183,5165943.75,steel,Leather,Circular,Plastic,Buckle
2185,97669687.5,gold,Leather,Circular,Sapphire crystal,Fold clasp
2186,12931875.0,steel,Leather,Rectangular,Sapphire crystal,Buckle
2188,2770143.75,gold,Leather,Circular,Sapphire crystal,Buckle
2190,2879043.75,Titanium,Rubber,Circular,Mineral Glass,Double-fold clasp
2191,42532256.25,Ceramic,Textile,Circular,Sapphire crystal,Fold clasp
2192,1136643.75,steel,Textile,Circular,Mineral Glass,Buckle
2193,142931250.0,steel,Textile,Circular,Sapphire crystal,Fold clasp
2194,11808843.75,steel,Leather,Circular,Plexiglass,Buckle
2195,25625531.25,steel,Leather,Rectangular,Sapphire crystal,Fold clasp
2196,16600443.75,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
2197,73439437.5,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
2198,1470150.0,steel,Leather,Rectangular,Plexiglass,Buckle
2199,229499943.75,Silver,Leather,Rectangular,Sapphire crystal,Buckle
2200,12911456.25,steel,Leather,Rectangular,Sapphire crystal,Double-fold clasp
2201,14395218.75,gold,Leather,Circular,Plexiglass,Fold clasp
2202,9379012.5,steel,Rubber,Circular,Mineral Glass,Buckle
2203,3246581.25,Aluminum,Leather,Circular,Mineral Glass,Buckle
2205,420755568.75,Titanium,Rubber,Rectangular,Sapphire crystal,Double-fold clasp
2206,7010437.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2207,61249443.75,steel,Animal skin,Circular,Sapphire crystal,Buckle
2208,88140937.5,Titanium,Titanium,Circular,Sapphire crystal,Buckle
2209,748687.5,steel,Leather,Circular,Mineral Glass,Buckle
2211,3321450.0,steel,Leather,Rectangular,Plexiglass,Buckle
2212,33520781.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
2215,13272187.5,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
2216,6125625.0,steel,Steel,Circular,Mineral Glass,Fold clasp
2217,1871718.75,steel,gold,Rectangular,Plexiglass,Double-fold clasp
2219,5165943.75,steel,Animal skin,Circular,Mineral Glass,Fold clasp
2220,5438193.75,steel,gold,Circular,Sapphire crystal,Double-fold clasp
2221,13653337.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2223,15422962.5,steel,Leather,Circular,Sapphire crystal,Buckle
2224,43553193.75,steel,Leather,Circular,Sapphire crystal,Buckle
2225,59554687.5,gold,Animal skin,Rectangular,Sapphire crystal,Buckle
2227,84785456.25,Titanium,Leather,Circular,Sapphire crystal,Double-fold clasp
2228,3369093.75,steel,gold,Rectangular,Mineral Glass,Double-fold clasp
2229,45431718.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2230,11441306.25,steel,Leather,Circular,Sapphire crystal,Fold clasp
2231,39986718.75,steel,Leather,Circular,Sapphire crystal,Buckle
2232,1157062.5,steel,Animal skin,Circular,Mineral Glass,Buckle
2233,1128986718.75,Titanium,Titanium,Circular,Sapphire crystal,Double-fold clasp
2234,54109687.5,steel,Animal skin,Circular,Sapphire crystal,Buckle
2235,1898943.75,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2236,959681.25,steel,Steel,Circular,Mineral Glass,Fold clasp
2238,7371168.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2239,268595043.75,gold,Animal skin,Circular,Sapphire crystal,Fold clasp
2240,20759062.5,steel,Leather,Circular,Sapphire crystal,Buckle
2241,1102612.5,steel,Animal skin,Circular,Sapphire crystal,Buckle
2242,5152331.25,steel,Leather,Circular,Sapphire crystal,Buckle
2243,83036250.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2244,44172562.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
2245,25468987.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
2246,24502500.0,steel,Animal skin,Circular,Sapphire crystal,Buckle
2247,1830881.25,steel,Steel,Circular,Mineral Glass,Fold clasp
2248,15565893.75,steel,Leather,Circular,Sapphire crystal,Buckle
2249,14687887.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
2250,3573281.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
2251,114753375.0,gold,Leather,Circular,Sapphire crystal,Buckle
2252,707850.0,steel,Leather,Circular,Mineral Glass,Buckle
2253,20411943.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2254,3232968.75,steel,Silicon,Circular,Sapphire crystal,Buckle
2255,28722375.0,steel,Leather,Circular,Sapphire crystal,Buckle
2256,5138718.75,steel,Steel,Circular,Sapphire crystal,Buckle
2257,51523312.5,gold,Leather,Circular,Sapphire crystal,Buckle
2258,2477475.0,Ceramic,Textile,Rectangular,Plexiglass,Fold clasp
2259,551306.25,steel,Steel,Circular,Mineral Glass,Fold clasp
2260,43389843.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2261,54109687.5,gold,Animal skin,Rectangular,Sapphire crystal,Buckle
2262,728268.75,steel,Steel,Circular,Mineral Glass,Buckle
2264,5438193.75,steel,Leather,Circular,Sapphire crystal,Double-fold clasp
2266,339972187.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
2267,1497375.0,steel,Steel,Rectangular,Plexiglass,Fold clasp
2269,3239775.0,steel,Steel,Circular,Sapphire crystal,Buckle
2270,1020597187.5,Titanium,Textile,Circular,Sapphire crystal,Buckle
2271,15647568.75,steel,Leather,Circular,Sapphire crystal,Buckle
2272,663616181.25,Platinum,Animal skin,Circular,Sapphire crystal,Buckle
2273,728268.75,steel,Leather,Circular,Plastic,Buckle
2274,5091075.0,Titanium,Titanium,Circular,Sapphire crystal,Fold clasp
2275,48664687.5,steel,Steel,Circular,Plexiglass,Buckle
2276,6826668.75,steel,Rubber,Circular,Sapphire crystal,Buckle
2277,1170675.0,steel,Steel,Rectangular,Mineral Glass,Fold clasp
2278,16675312.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
2279,14204643.75,steel,Leather,Circular,Sapphire crystal,Buckle
2280,6683737.5,steel,Leather,Circular,Sapphire crystal,Buckle
2281,19547550.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2283,32111887.5,steel,Rubber,Circular,Sapphire crystal,Double-fold clasp
2284,25836525.0,Ceramic,Ceramic,Circular,Sapphire crystal,Double-fold clasp
2285,13210931.25,Carbon,Leather,Rectangular,Sapphire crystal,Fold clasp
2286,16906725.0,steel,Leather,Circular,Sapphire crystal,Buckle
2287,10706231.25,gold,Leather,Circular,Plexiglass,Buckle
2288,3321450.0,steel,Steel,Circular,Sapphire crystal,"Fold clasp, hidden"
2289,169815937.5,Titanium,Rubber,Circular,Sapphire crystal,Buckle
2292,21773193.75,Titanium,Textile,Circular,Sapphire crystal,Fold clasp
2293,69886575.0,steel,Textile,Circular,Sapphire crystal,Fold clasp
2294,20384718.75,steel,Textile,Circular,Sapphire crystal,Buckle
2295,12925068.75,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2296,135784687.5,gold,Textile,Circular,Sapphire crystal,Buckle
2297,14966943.75,steel,Steel,Circular,Sapphire crystal,Buckle
2298,1687950.0,steel,Leather,Circular,Mineral Glass,Buckle
2299,184177125.0,gold,Animal skin,Rectangular,Sapphire crystal,Buckle
2300,8820900.0,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
2301,2028262.5,steel,Silicon,Circular,Sapphire crystal,Fold clasp
2302,2143968.75,steel,Leather,Rectangular,Sapphire crystal,Buckle
2305,52748437.5,Titanium,Rubber,Circular,Sapphire crystal,Fold clasp
2306,1817268.75,steel,Animal skin,Circular,Mineral Glass,Buckle
2307,136118193.75,steel,Steel,Rectangular,Sapphire crystal,"Fold clasp, hidden"
2308,35433337.5,steel,Rubber,Circular,Sapphire crystal,Buckle
2309,63447862.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
2311,3600506.25,steel,Rubber,Circular,Sapphire crystal,Buckle
2312,369239062.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
2313,190234687.5,gold,Rubber,Circular,Sapphire crystal,Buckle
2314,7085306.25,steel,Rubber,Circular,Sapphire crystal,Buckle
2316,159606562.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
2317,20595712.5,steel,Rubber,Circular,Sapphire crystal,Fold clasp
2318,3403125.0,steel,Steel,Circular,Mineral Glass,Fold clasp
2319,22052250.0,steel,Leather,Circular,Sapphire crystal,Buckle
2320,1844493.75,steel,Leather,Circular,Sapphire crystal,Buckle
2321,4015687.5,steel,Steel,Rectangular,Sapphire crystal,Double-fold clasp
2322,28579443.75,steel,gold,Circular,Sapphire crystal,Fold clasp
2323,29260068.75,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
2324,12421406.25,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2325,15899400.0,steel,Steel,Rectangular,Sapphire crystal,"Fold clasp, hidden"
2326,4764375.0,steel,Rubber,Circular,Sapphire crystal,Fold clasp
2327,30634931.25,gold,Animal skin,Circular,Sapphire crystal,Buckle
2328,10964868.75,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
2329,41858437.5,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
2330,3859143.75,steel,Steel,Rectangular,Sapphire crystal,Double-fold clasp
2331,4560187.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
2332,146899293.75,Silver,Leather,Rectangular,Sapphire crystal,Buckle
2336,86323668.75,gold,Animal skin,Circular,Sapphire crystal,Buckle
2337,1687950.0,steel,Textile,Circular,Sapphire crystal,Buckle
2338,340312500.0,gold,gold,Circular,Sapphire crystal,Fold clasp
2340,8786868.75,steel,Rubber,Circular,Sapphire crystal,Buckle
2342,7623000.0,steel,Other Metal,Circular,Sapphire crystal,Fold clasp
2343,14674275.0,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2346,1157062.5,steel,Steel,Circular,Mineral Glass,Fold clasp
2347,1742400.0,steel,Animal skin,Circular,Sapphire crystal,Buckle
2348,7439231.25,steel,Leather,Circular,Sapphire crystal,Buckle
2349,1531406.25,steel,Steel,Rectangular,Plastic,Fold clasp
2350,29518706.25,steel,Steel,Rectangular,Sapphire crystal,Double-fold clasp
2351,8575875.0,steel,Leather,Rectangular,Sapphire crystal,Buckle
2352,22807743.75,Titanium,Titanium,Circular,Sapphire crystal,Double-fold clasp
2353,2361768.75,steel,Leather,Rectangular,Mineral Glass,Buckle
2355,17669025.0,steel,Leather,Circular,Sapphire crystal,Buckle
2356,136118193.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2357,10651781.25,Titanium,Animal skin,Circular,Sapphire crystal,Buckle
2360,125881593.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2361,58894481.25,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
2362,5533481.25,steel,Leather,Circular,Sapphire crystal,Buckle
2364,63910687.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2365,469624443.75,gold,Animal skin,Circular,Sapphire crystal,Fold clasp
2366,14762756.25,steel,Leather,Circular,Mineral Glass,Double-fold clasp
2367,884812.5,steel,Rubber,Rectangular,Glass,Buckle
2368,221380087.5,gold,Leather,Circular,Sapphire crystal,Buckle
2369,38115000.0,Titanium,Textile,Circular,Sapphire crystal,Double-fold clasp
2370,37434375.0,Other Metal,Leather,Circular,Sapphire crystal,Buckle
2371,2872237.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
2372,95117343.75,Titanium,Leather,Circular,Sapphire crystal,Buckle
2373,5104687.5,steel,Silicon,Circular,Sapphire crystal,Fold clasp
2374,7643418.75,steel,Animal skin,Rectangular,Sapphire crystal,Double-fold clasp
2376,62746818.75,steel,Animal skin,Rectangular,Sapphire crystal,Double-fold clasp
2377,13210931.25,steel,Leather,Rectangular,Sapphire crystal,Fold clasp
2380,19118756.25,steel,Leather,Rectangular,Sapphire crystal,Buckle
2381,270208125.0,gold,Rubber,Circular,Sapphire crystal,Double-fold clasp
2382,126255937.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
2384,20595712.5,steel,Rubber,Circular,Sapphire crystal,Buckle
2385,3164906.25,steel,Leather,Circular,Sapphire crystal,Buckle
2386,5649187.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2387,701043.75,Ceramic,Leather,Rectangular,Sapphire crystal,Buckle
2388,41266293.75,steel,Leather,Circular,Plexiglass,Buckle
2389,16505156.25,steel,Leather,Circular,Sapphire crystal,Fold clasp
2390,96921000.0,Titanium,Leather,Circular,Sapphire crystal,Buckle
2391,30737025.0,steel,Animal skin,Circular,Sapphire crystal,Buckle
2392,9188437.5,steel,Leather,Circular,Sapphire crystal,Buckle
2393,3811500.0,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
2394,1102612.5,steel,Leather,Circular,Mineral Glass,Buckle
2395,4390031.25,steel,Rubber,Circular,Sapphire crystal,Buckle
2397,8650743.75,steel,Leather,Circular,Sapphire crystal,Jewelry clasp
2399,15143906.25,steel,Rubber,Circular,Sapphire crystal,Buckle
2400,28552218.75,Titanium,Titanium,Circular,Sapphire crystal,Fold clasp
2401,20670581.25,steel,Rubber,Circular,Sapphire crystal,Buckle
2402,1606275.0,steel,Leather,Circular,Mineral Glass,Buckle
2403,1334025.0,steel,Leather,Rectangular,Sapphire crystal,Buckle
2404,10971675.0,gold,Leather,Circular,Plastic,Buckle
2405,8637131.25,steel,Ceramic,Circular,Mineral Glass,Fold clasp
2408,50196093.75,steel,Animal skin,Circular,Sapphire crystal,Double-fold clasp
2409,597214406.25,gold,Leather,Rectangular,Sapphire crystal,Fold clasp
2410,3682181.25,steel,Leather,Circular,Mineral Glass,Buckle
2412,8643937.5,steel,Leather,Rectangular,Mineral Glass,Jewelry clasp
2413,3968043.75,steel,Leather,Circular,Mineral Glass,Buckle
2414,30628125.0,steel,Rubber,Circular,Sapphire crystal,Fold clasp
2415,54443193.75,gold,gold,Circular,Sapphire crystal,Fold clasp
2417,13319831.25,steel,Leather,Rectangular,Sapphire crystal,Double-fold clasp
2418,35276793.75,steel,Leather,Circular,Sapphire crystal,Buckle
2419,228009375.0,gold,Animal skin,Circular,Sapphire crystal,Buckle
2420,8065406.25,steel,Rubber,Circular,Sapphire crystal,Buckle
2421,2348156.25,steel,Leather,Rectangular,Sapphire crystal,Buckle
2422,5023012.5,steel,Leather,Circular,Sapphire crystal,Double-fold clasp
2423,7384781.25,steel,Rubber,Rectangular,Sapphire crystal,Buckle
2425,180365625.0,Titanium,Rubber,Circular,Sapphire crystal,Buckle
2426,14735531.25,steel,Rubber,Circular,Sapphire crystal,Buckle
2427,14027681.25,steel,Leather,Circular,Sapphire crystal,Buckle
2428,14347575.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2429,8814093.75,steel,Rubber,Circular,Sapphire crystal,Buckle
2430,6751800.0,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
2431,14871656.25,steel,Leather,Circular,Sapphire crystal,Buckle
2432,11441306.25,steel,Leather,Circular,Sapphire crystal,Buckle
2433,12183187.5,gold,Leather,Circular,Plexiglass,Buckle
2434,59895000.0,steel,Leather,Circular,Sapphire crystal,Fold clasp
2435,46929093.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2436,1756012.5,steel,Silicon,Circular,Mineral Glass,Buckle
2437,8167500.0,Titanium,Titanium,Circular,Sapphire crystal,Fold clasp
2438,6057562.5,steel,Leather,Rectangular,Plastic,Buckle
2439,3743437.5,Bronze,Leather,Circular,Sapphire crystal,Buckle
2440,77931562.5,steel,Steel,Circular,Sapphire crystal,Buckle
2442,52748437.5,steel,Steel,Circular,Sapphire crystal,Fold clasp
2443,32465812.5,gold,Leather,Rectangular,Sapphire crystal,Buckle
2444,31649062.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2445,830362.5,Plastic,Rubber,Circular,Mineral Glass,Buckle
2446,50706562.5,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
2447,8507812.5,steel,Silicon,Circular,Sapphire crystal,Buckle
2449,50468343.75,Ceramic,Animal skin,Rectangular,Sapphire crystal,Buckle
2450,14395218.75,gold,Leather,Circular,Plexiglass,Buckle
2453,6697350.0,steel,Leather,Circular,Sapphire crystal,Double-fold clasp
2455,6772218.75,steel,Rubber,Circular,Sapphire crystal,Buckle
2456,2205225.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2458,186831562.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
2461,19738125.0,steel,Rubber,Circular,Sapphire crystal,Buckle
2462,3403125.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2463,24502500.0,Bronze,Leather,Circular,Sapphire crystal,Double-fold clasp
2464,4206262.5,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
2465,374003437.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
2466,2688468.75,steel,Animal skin,Rectangular,Mineral Glass,Buckle
2467,5308875.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2468,2361768.75,Carbon,Rubber,Circular,Mineral Glass,Buckle
2469,204418912.5,steel,Steel,Circular,Sapphire crystal,"Fold clasp, hidden"
2470,298624218.75,steel,Leather,Circular,Sapphire crystal,Buckle
2471,11625075.0,steel,Animal skin,Circular,Sapphire crystal,Fold clasp
2472,14728725.0,steel,Leather,Circular,Sapphire crystal,Buckle
2473,33690937.5,steel,Animal skin,Rectangular,Sapphire crystal,Buckle
2474,6037143.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2475,21405656.25,steel,Leather,Circular,Sapphire crystal,Fold clasp
2476,62107031.25,gold,Leather,Rectangular,Sapphire crystal,Buckle
2477,29675250.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2478,51693468.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2480,88447218.75,gold,Steel,Rectangular,Sapphire crystal,Fold clasp
2481,39476250.0,gold,gold,Circular,Sapphire crystal,Double-fold clasp
2482,21773193.75,steel,Rubber,Circular,Sapphire crystal,Double-fold clasp
2483,2436637.5,Plastic,Rubber,Circular,Plastic,Buckle
2484,5410968.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2486,27218193.75,Titanium,Titanium,Circular,Sapphire crystal,Fold clasp
2489,39986718.75,steel,Animal skin,Circular,Sapphire crystal,Buckle
2491,44281462.5,steel,Leather,Circular,Sapphire crystal,Fold clasp
2493,3232968.75,steel,Rubber,Circular,Sapphire crystal,Buckle
2494,12918262.5,steel,Steel,Circular,Plexiglass,Fold clasp
2495,1830881.25,steel,Leather,Circular,Sapphire crystal,Double-fold clasp
2497,86500631.25,gold,Leather,Rectangular,Sapphire crystal,Double-fold clasp
2498,4083750.0,steel,Leather,Rectangular,Sapphire crystal,Buckle
2499,24162187.5,steel,Steel,Circular,Plexiglass,Fold clasp
2500,1545018.75,steel,Steel,Circular,Sapphire crystal,Buckle
2501,11536593.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2502,20303043.75,steel,Leather,Circular,Sapphire crystal,Double-fold clasp
2503,65700731.25,gold,Animal skin,Circular,Sapphire crystal,Buckle
2505,22106700.0,steel,Leather,Circular,Sapphire crystal,Buckle
2506,106095825.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2507,2021456.25,Carbon,Rubber,Circular,Mineral Glass,Buckle
2509,25768462.5,steel,Silicon,Circular,Sapphire crystal,"Fold clasp, hidden"
2510,884812.5,Plastic,Rubber,Circular,Mineral Glass,Buckle
2512,2232450.0,steel,Steel,Circular,Mineral Glass,Buckle
2514,22460625.0,steel,Animal skin,Circular,Sapphire crystal,Buckle
2515,12965906.25,Titanium,Titanium,Circular,Sapphire crystal,Fold clasp
2516,1368056.25,Titanium,Titanium,Rectangular,Mineral Glass,"Fold clasp, hidden"
2517,4934531.25,steel,Leather,Circular,Sapphire crystal,Buckle
2518,28048556.25,steel,Steel,Circular,Plexiglass,Fold clasp
2521,4798406.25,steel,Steel,Circular,Sapphire crystal,Fold clasp
2522,29008237.5,steel,Leather,Circular,Sapphire crystal,Fold clasp
2523,9964350.0,steel,Leather,Circular,Sapphire crystal,Buckle
2524,10202568.75,gold,Leather,Circular,Plastic,Buckle
2525,13210931.25,Carbon,Rubber,Rectangular,Sapphire crystal,Fold clasp
2526,98350312.5,gold,gold,Rectangular,Sapphire crystal,Buckle
2527,16607250.0,steel,Rubber,Rectangular,Sapphire crystal,Buckle
2528,339972187.5,Titanium,Rubber,Circular,Sapphire crystal,Buckle
2529,115842375.0,steel,Leather,Circular,Sapphire crystal,Fold clasp
2530,135784687.5,gold,Animal skin,Circular,Sapphire crystal,Buckle
2531,8405718.75,steel,gold,Rectangular,Plexiglass,Double-fold clasp
2532,9188437.5,steel,Steel,Circular,Sapphire crystal,Buckle
2533,12543918.75,steel,Leather,Circular,Sapphire crystal,Fold clasp
2534,10263825.0,steel,Steel,Circular,Sapphire crystal,Fold clasp
2535,11808843.75,steel,Rubber,Circular,Mineral Glass,Buckle
2536,9705712.5,steel,Animal skin,Circular,Plexiglass,Buckle
2537,16825050.0,steel,Steel,Circular,Sapphire crystal,"Fold clasp, hidden"
2538,1898943.75,steel,Animal skin,Circular,Mineral Glass,Buckle
2539,17015625.0,Titanium,Rubber,Circular,Sapphire crystal,Buckle
2540,64591312.5,gold,Rubber,Circular,Sapphire crystal,Double-fold clasp
2541,9447075.0,steel,Leather,Circular,Sapphire crystal,Double-fold clasp
2543,68736318.75,steel,Steel,Circular,Sapphire crystal,Fold clasp
2544,8344462.5,steel,Leather,Rectangular,Sapphire crystal,Buckle
2545,11196281.25,steel,Rubber,Circular,Sapphire crystal,Fold clasp
2546,12183187.5,steel,Leather,Circular,Sapphire crystal,Buckle
2548,3600506.25,steel,Rubber,Circular,Sapphire crystal,"Fold clasp, hidden"
2549,237878437.5,gold,Leather,Circular,Sapphire crystal,Buckle
2550,1905750.0,steel,Leather,Circular,Plexiglass,Fold clasp
2551,7194206.25,steel,Leather,Rectangular,Sapphire crystal,Buckle
2552,21745968.75,steel,Rubber,Circular,Sapphire crystal,Fold clasp
2553,1871718.75,steel,Steel,Rectangular,Mineral Glass,Fold clasp
2554,488008125.0,gold,Animal skin,Circular,Sapphire crystal,Buckle
2555,38754787.5,steel,Animal skin,Circular,Sapphire crystal,Buckle
2556,7194206.25,steel,Animal skin,Rectangular,Plexiglass,Buckle
2557,21705131.25,steel,Leather,Circular,Sapphire crystal,Buckle
2558,87909525.0,steel,Leather,Circular,Sapphire crystal,Buckle
2561,2198418.75,steel,Steel,Circular,Mineral Glass,Double-fold clasp
2562,4253906.25,steel,Steel,Rectangular,Sapphire crystal,Fold clasp
2563,21398850.0,steel,Leather,Circular,Sapphire crystal,Buckle
2564,2879043.75,steel,Animal skin,Circular,Sapphire crystal,Buckle
2565,2729306.25,steel,Steel,Circular,Sapphire crystal,Double-fold clasp
